A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_floor,ldd_variance_mean,n_points,r_bins,r_max,r_min,rep,sampling_mode,seed_a,seed_b,seed_rot,sinkhorn_epsilon
nan,nan,2.634996963024605e-05,nan,nan,1.2579081158037297e-05,0.003831524169072509,0.0038968869484961033,0.016773075608164434,0.01707935333251953,0.003896887181326747,0.002487432211637497,1.0000860691070557,6.990903784753755e-05,1.076871395111084,0.036463357508182526,6.5467762760818e-07,uniform_s2,eol,nan,nan,0.0001,1.9464525394141674e-05,2000,100,3.999999950979677,0.0001,4,independent,40017,40029,40101,0.05
1.2199276423152083,0.19879154740858462,0.0031628748401999474,1.2186752330079693,0.19776439417258646,0.003279794240370393,0.025574715808033943,0.6446841955184937,0.9603298545461236,10.17475700378418,0.6446841359138489,0.9508689641952515,1.2548624277114868,2.0476303100585938,10.161178588867188,54.964630126953125,0.0031549069881439207,isotropic_vmf,geo,1.219301437661589,0.19827797079058554,0.0001,0.00322133454028517,2000,100,2.8773797976795574,0.0001,0,independent,17,29,101,0.05
1.2037285745861723,0.18542388508180424,0.0032253179233521223,1.1992796180691463,0.1817210582550801,0.003399495268240571,0.02707904763519764,0.6642190217971802,0.9592317492475152,8.385994911193848,0.664219081401825,0.9517669677734375,1.2111355066299438,0.2205296903848648,8.780654907226562,27.712574005126953,0.00260538125038147,isotropic_vmf,geo,1.2015040963276593,0.18357247166844215,0.0001,0.0033124065957963467,2000,100,2.8014580177655484,0.0001,1,independent,10017,10029,10101,0.05
1.210506560448692,0.19103891700020129,0.0032657086849212646,1.227192806770689,0.20472929011651902,0.0033045117743313313,0.02482317015528679,0.6570863127708435,0.962222360026629,10.202552795410156,0.6570863127708435,0.9613149762153625,1.2161059379577637,0.4026750326156616,9.69180679321289,48.77715301513672,0.002899338483810425,isotropic_vmf,geo,1.2188496836096905,0.19788410355836017,0.0001,0.003285110229626298,2000,100,2.9933593069563353,0.0001,2,independent,20017,20029,20101,0.05
1.1847658265622687,0.16954514034334883,0.0031933782156556845,1.2551233553438175,0.22723385886410405,0.003537989454343915,0.02760506421327591,0.6735390424728394,0.9590149011823779,10.276515007019043,0.6735389828681946,0.9810492992401123,1.2161616086959839,0.3759157955646515,9.556730270385742,46.40938949584961,0.0028560032844543457,isotropic_vmf,geo,1.219944590953043,0.19838949960372643,0.0001,0.0033656838349997997,2000,100,3.0372662827415815,0.0001,3,independent,30017,30029,30101,0.05
1.218036980101664,0.19724053015822482,0.003366276156157255,1.194483506869291,0.17771388012815997,0.0031859467271715403,0.029518555849790573,0.6592150926589966,0.9552216625825038,8.344282150268555,0.6592150330543518,0.9631454348564148,1.2115912437438965,0.24965356290340424,9.08784294128418,32.54098129272461,0.0026951415538787843,isotropic_vmf,geo,1.2062602434854774,0.18747720514319238,0.0001,0.0032761114416643977,2000,100,2.6844391611323477,0.0001,4,independent,40017,40029,40101,0.05
1.2107176787503258,0.19121330671491726,0.0031417610589414835,1.2105795313965058,0.19109919651531776,0.0032606751192361116,0.02557658962905407,0.6406655311584473,0.9600780931934848,9.620640754699707,0.6406654715538025,0.9350805878639221,1.2332667112350464,1.1381754875183105,9.945084571838379,52.89177322387695,0.003066124439239502,isotropic_vmf,euc,1.2106486050734158,0.1911562516151175,0.0001,0.0032012180890887976,2000,100,1.982573258271631,0.0001,0,independent,17,29,101,0.05
1.196964776083268,0.1797889993118375,0.003196587786078453,1.1940705772326345,0.17736812313356762,0.0033779682125896215,0.02709524892270565,0.6592019200325012,0.9588968901647469,8.10023021697998,0.659201979637146,0.9369586706161499,1.2101106643676758,0.21382969617843628,8.651700019836426,26.825403213500977,0.0025571677684783937,isotropic_vmf,euc,1.1955176766579512,0.17857856122270255,0.0001,0.0032872779993340373,2000,100,1.9711467513467338,0.0001,1,independent,10017,10029,10101,0.05
1.203467120581196,0.1852066580349718,0.003256634809076786,1.2180689473219393,0.19726677468225576,0.003293812507763505,0.02480325847864151,0.6551086902618408,0.9621387124803247,9.65954875946045,0.6551086902618408,0.9487740397453308,1.2142143249511719,0.3486974835395813,9.50256633758545,45.95970916748047,0.002811126947402954,isotropic_vmf,euc,1.2107680339515676,0.19123671635861378,0.0001,0.0032752236584201455,2000,100,1.9945092329532959,0.0001,2,independent,20017,20029,20101,0.05
1.1792915409039542,0.1649138691074407,0.0031890631653368473,1.2449723717110244,0.21911333827367072,0.0035248894710093737,0.027436740696430206,0.6717888116836548,0.9591586816879735,9.702140808105469,0.67178875207901,0.9685034155845642,1.2145612239837646,0.332955926656723,9.365372657775879,44.04274368286133,0.0027792797088623047,isotropic_vmf,euc,1.2121319563074893,0.1920136036905557,0.0001,0.0033569763181731105,2000,100,1.9972796190152553,0.0001,3,independent,30017,30029,30101,0.05
