A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,kappa_1,kappa_2,kappa_3,kappa_4,kind,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_mean,mask_label,mix_base_kappa,n_points,one_mode_kappa,plot_group,r_bins,r_max,r_min,rep,seed_a,seed_b,seed_rot,sinkhorn_epsilon,uniqueness_level,weight_1,weight_2,weight_3,weight_4
1.2420448276397416,0.21675907596762894,0.002458927920088172,1.2569710303357902,0.22870488267251596,0.002193980384618044,0.03717830032110214,0.4670533537864685,0.9203981728860475,5.062499046325684,0.4670533537864685,0.6144365668296814,1.195093035697937,0.14560189843177795,8.248046875,14.122701644897461,0.0029652762413024903,mix_u1_1,euc,12.0,18.0,18.0,18.0,mixture,1.2495079289877657,0.22273197932007244,0.002326454152353108,1,18.0,1200,4.0,mix_u1,100,1.8454327770025398,0.0001,0,1124,1136,1208,0.05,1,0.22,0.26,0.26,0.26
1.2842870346824973,0.2502037275453156,0.002277642721310258,1.3049542765450406,0.26616800303060506,0.0022641271352767944,0.036452166736125946,0.45435458421707153,0.9197715440707194,5.8480072021484375,0.45435455441474915,0.6041004061698914,1.1993908882141113,0.19800956547260284,9.308320999145508,26.425495147705078,0.0034325615564982097,mix_u1_1,euc,12.0,18.0,18.0,18.0,mixture,1.294620655613769,0.25818586528796034,0.002270884928293526,1,18.0,1200,4.0,mix_u1,100,1.9087288940861384,0.0001,1,11124,11136,11208,0.05,1,0.22,0.26,0.26,0.26
1.3506829220934975,0.3006103327595516,0.0022277815733104944,1.2692205074697076,0.23840293838844748,0.0023186858743429184,0.036451734602451324,0.4547803997993469,0.9198476130050148,7.012882709503174,0.4547804296016693,0.6193719506263733,1.2102768421173096,0.4930582344532013,9.754080772399902,35.777809143066406,0.003863568305969238,mix_u1_1,euc,12.0,18.0,18.0,18.0,mixture,1.3099517147816027,0.26950663557399956,0.0022732337238267064,1,18.0,1200,4.0,mix_u1,100,1.9545305053038213,0.0001,2,21124,21136,21208,0.05,1,0.22,0.26,0.26,0.26
1.2957602552348193,0.25909759257290904,0.0022969956044107676,1.3267510671126879,0.2827331470313195,0.0022488662507385015,0.038630399852991104,0.45631635189056396,0.9153429420336539,5.5414276123046875,0.4563163220882416,0.6098952293395996,1.199628472328186,0.17945683002471924,9.631645202636719,24.01357078552246,0.003418229420979818,mix_u1_1,euc,12.0,18.0,18.0,18.0,mixture,1.3112556611737536,0.2709153698021143,0.0022729309275746346,1,18.0,1200,4.0,mix_u1,100,1.8508168104489753,0.0001,3,31124,31136,31208,0.05,1,0.22,0.26,0.26,0.26
1.2700802040585,0.23908005127841414,0.002276351675391197,1.2891144624902664,0.25395551946400474,0.0024003719445317984,0.04486045986413956,0.4758685529232025,0.9057293036310821,5.517206192016602,0.4758685827255249,0.6270976066589355,1.2008732557296753,0.19042247533798218,9.338237762451172,23.731918334960938,0.0034511955579121906,mix_u1_1,euc,12.0,18.0,18.0,18.0,mixture,1.279597333274383,0.24651778537120944,0.002338361809961498,1,18.0,1200,4.0,mix_u1,100,1.853158557868618,0.0001,4,41124,41136,41208,0.05,1,0.22,0.26,0.26,0.26
1.2095441399508167,0.1902435447805586,0.0026786336675286293,1.2288683626434558,0.20609371552544237,0.002533847698941827,0.03573763370513916,0.5242156386375427,0.931826464013888,6.8403401374816895,0.5242156386375427,0.6956894397735596,1.2580809593200684,1.8972318172454834,9.029275894165039,35.86503601074219,0.003859018087387085,mix_u1_2,geo,18.0,16.0,18.0,18.0,mixture,1.2192062512971362,0.19816863015300049,0.002606240683235228,2,18.0,1200,4.0,mix_u1,100,2.3555392591797615,0.0001,0,1131,1143,1215,0.05,1,0.25333333333333335,0.24,0.25333333333333335,0.25333333333333335
1.2524809656881628,0.22512635680604728,0.002687967149540782,1.2530497219560899,0.22558035745389488,0.0025307941250503063,0.03419084846973419,0.5219547748565674,0.9344946150188399,6.839560508728027,0.5219548344612122,0.7104315757751465,1.2138315439224243,0.2850925326347351,9.652959823608398,29.517112731933594,0.0039034231503804525,mix_u1_2,geo,18.0,16.0,18.0,18.0,mixture,1.2527653438221265,0.22535335712997107,0.002609380637295544,2,18.0,1200,4.0,mix_u1,100,2.5393516001609164,0.0001,1,11131,11143,11215,0.05,1,0.25333333333333335,0.24,0.25333333333333335,0.25333333333333335
1.22649694932541,0.20416209741238417,0.002610712544992566,1.2550557264729387,0.22717997516203278,0.0025665275752544403,0.034409791231155396,0.5186184048652649,0.9336510410962084,6.097218990325928,0.5186184048652649,0.7098132967948914,1.2100292444229126,0.2015993297100067,9.139161109924316,20.968400955200195,0.0035885024070739747,mix_u1_2,geo,18.0,16.0,18.0,18.0,mixture,1.2407763378991743,0.21567103628720846,0.002588620060123503,2,18.0,1200,4.0,mix_u1,100,2.3408864481716734,0.0001,2,21131,21143,21215,0.05,1,0.25333333333333335,0.24,0.25333333333333335,0.25333333333333335
1.2433352640649742,0.21779749785368033,0.002526508178561926,1.235894665091748,0.21179513298618288,0.0027348974253982306,0.035085391253232956,0.5266436338424683,0.9333792549674533,6.855968952178955,0.5266435742378235,0.7154450416564941,1.211000919342041,0.20381183922290802,9.28784465789795,22.116086959838867,0.003636596997578939,mix_u1_2,geo,18.0,16.0,18.0,18.0,mixture,1.2396149645783612,0.2147963154199316,0.0026307028019800782,2,18.0,1200,4.0,mix_u1,100,2.351940715958876,0.0001,3,31131,31143,31215,0.05,1,0.25333333333333335,0.24,0.25333333333333335,0.25333333333333335
1.2365656422758393,0.21233789373228157,0.002890506060793996,1.2731141141760383,0.24146595748700275,0.0026756383012980223,0.03847011923789978,0.5594081878662109,0.9312306825814635,6.847036361694336,0.5594081282615662,0.7769728899002075,1.2168548107147217,0.21554307639598846,9.768486976623535,21.5936336517334,0.0038136529922485353,mix_u1_2,geo,18.0,16.0,18.0,18.0,mixture,1.2548398782259387,0.22690192560964217,0.002783072181046009,2,18.0,1200,4.0,mix_u1,100,2.471529428073444,0.0001,4,41131,41143,41215,0.05,1,0.25333333333333335,0.24,0.25333333333333335,0.25333333333333335
